Fecha de operación; Precio ;;
9/4/2003; $ 295,00 ;;
10/4/2003; $ 305,00 ;;
11/4/2003; S/C ;;
15/4/2003; $ 300,00 ;;
16/4/2003; $ 300,00 ;;
21/4/2003; $ 300,00 ;;
22/4/2003; $ 300,00 ;;
23/4/2003; $ 300,00 ;;
24/4/2003; S/C ;;
25/4/2003; S/C ;;
28/4/2003; S/C ;;
29/4/2003; S/C ;;
30/4/2003; S/C ;;
2/5/2003; S/C ;;
5/5/2003; S/C ;;
6/5/2003; S/C ;;
7/5/2003; S/C ;;
8/5/2003; S/C ;;
9/5/2003; S/C ;;
12/5/2003; S/C ;;
13/5/2003; S/C ;;
14/5/2003; S/C ;;
15/5/2003; S/C ;;
16/5/2003; S/C ;;
19/5/2003; $ 359,20 ;;
20/5/2003; S/C ;;
21/5/2003; $ 355,00 ;;
22/5/2003; $ 355,00 ;;
23/5/2003; S/C ;;
26/5/2003; $ 360,00 ;;
27/5/2003; $ 360,00 ;;
28/5/2003; $ 360,00 ;;
29/5/2003; $ 360,00 ;;
30/5/2003; $ 365,00 ;;
2/6/2003; $ 360,00 ;;
3/6/2003; $ 330,00 ;;
4/6/2003; S/C ;;
5/6/2003; $ 330,00 ;;
6/6/2003; S/C ;;
9/6/2003; $ 330,00 ;;
10/6/2003; $ 330,00 ;;
11/6/2003; S/C ;;
12/6/2003; S/C ;;
13/6/2003; S/C ;;
17/6/2003; S/C ;;
18/6/2003; S/C ;;
20/6/2003; S/C ;;
23/6/2003; S/C ;;
24/6/2003; S/C ;;
25/6/2003; $ 330,00 ;;
26/6/2003; $ 320,00 ;;
27/6/2003; S/C ;;
30/6/2003; S/C ;;
1/7/2003; S/C ;;
2/7/2003; $ 320,00 ;;
3/7/2003; $ 320,00 ;;
4/7/2003; S/C ;;
7/7/2003; $ 315,00 ;;
8/7/2003; $ 310,00 ;;
10/7/2003; $ 305,00 ;;
11/7/2003; $ 310,00 ;;
14/7/2003; $ 312,00 ;;
15/7/2003; $ 312,00 ;;
16/7/2003; $ 312,00 ;;
17/7/2003; $ 312,00 ;;
18/7/2003; $ 312,00 ;;
21/7/2003; $ 310,00 ;;
22/7/2003; $ 307,00 ;;
23/7/2003; $ 310,00 ;;
24/7/2003; $ 310,00 ;;
25/7/2003; $ 312,00 ;;
28/7/2003; $ 310,00 ;;
29/7/2003; $ 311,80 ;;
30/7/2003; $ 314,80 ;;
31/7/2003; $ 315,00 ;;
1/8/2003; $ 315,00 ;;
4/8/2003; $ 315,00 ;;
5/8/2003; $ 316,50 ;;
6/8/2003; $ 320,00 ;;
7/8/2003; $ 320,00 ;;
8/8/2003; $ 320,00 ;;
11/8/2003; $ 320,00 ;;
12/8/2003; $ 320,00 ;;
13/8/2003; $ 320,00 ;;
14/8/2003; $ 320,00 ;;
15/8/2003; $ 320,00 ;;
19/8/2003; $ 320,00 ;;
20/8/2003; $ 325,00 ;;
21/8/2003; S/C ;;
22/8/2003; S/C ;;
25/8/2003; S/C ;;
26/8/2003; S/C ;;
27/8/2003; S/C ;;
28/8/2003; S/C ;;
29/8/2003; S/C ;;
1/9/2003; $ 335,00 ;;
2/9/2003; $ 335,00 ;;
3/9/2003; S/C ;;
4/9/2003; S/C ;;
5/9/2003; S/C ;;
8/9/2003; $ 326,00 ;;
9/9/2003; $ 328,00 ;;
10/9/2003; S/C ;;
11/9/2003; S/C ;;
12/9/2003; $ 323,00 ;;
15/9/2003; $ 323,00 ;;
16/9/2003; $ 322,00 ;;
17/9/2003; $ 323,00 ;;
18/9/2003; $ 322,00 ;;
19/9/2003; $ 322,00 ;;
22/9/2003; S/C ;;
23/9/2003; $ 322,00 ;;
24/9/2003; $ 325,00 ;;
25/9/2003; $ 325,00 ;;
